DATE,CPNEBOSTON
1815-01-01,76.0
1816-01-01,189.0
1817-01-01,261.0
1818-01-01,530.0
1819-01-01,996.0
1820-01-01,1262.0
1821-01-01,1456.0
1822-01-01,1643.0
1823-01-01,1762.0
1824-01-01,1899.0
1825-01-01,1711.0
1826-01-01,1785.0
1827-01-01,1862.0
1828-01-01,1967.0
1829-01-01,1813.0
1830-01-01,1879.0
1831-01-01,2003.0
1832-01-01,1982.0
1833-01-01,1674.0
1834-01-01,2090.0
1835-01-01,2420.0
1836-01-01,2450.0
1837-01-01,2703.0
1838-01-01,2820.0
1839-01-01,2862.0
1840-01-01,2580.0
1841-01-01,2705.0
1842-01-01,2488.0
1843-01-01,2190.0
1844-01-01,2683.0
1845-01-01,2559.0
1846-01-01,2477.0
1847-01-01,2936.0
1848-01-01,3172.0
1849-01-01,3416.0
1850-01-01,3472.0
1851-01-01,2788.0
1852-01-01,2724.0
1853-01-01,2968.0
1854-01-01,3154.0
1855-01-01,3310.0
1856-01-01,3698.0
1857-01-01,3538.0
1858-01-01,3497.0
1859-01-01,4166.0
1860-01-01,4573.0
